year,Base case cost,Modeled non-residential energy efficiency
2017,467127.266477,466116.939477
2018,496593.468824,489709.022202
2019,539155.761104,524736.47861
2020,558799.896002,539881.783562
2021,572987.326762,550327.561688
2022,582809.394211,557021.731413
2023,590448.780005,561861.218224
2024,596996.824971,565793.989827
2025,603544.869937,569768.037703
2026,612275.596558,575680.358664
2027,619914.982352,580683.061644
2028,626463.027318,584775.22404
2029,635193.75394,590802.891207
2030,639559.11725,593071.290624
2031,649381.184699,600120.402065
