year,annotation,Electricity price ($/kwh)
2002,,0.33
2003,,0.33
2004,,0.33
2005,,0.4
2006,,0.45
2007,,0.42
2008,,0.57
2009,,0.47
2010,,0.55
2011,,0.62
2012,,0.64
2013,,0.65
2014,,0.26
2015,,0.57
2016,start of forecast,0.42
2017,,0.45
2018,,0.47
2019,,0.5
2020,,0.51
2021,,0.52
2022,,0.53
2023,,0.53
2024,,0.54
2025,,0.54
2026,,0.55
2027,,0.55
2028,,0.56
2029,,0.56
2030,,0.57
2031,,0.57
2032,,0.58
2033,,0.59
2034,,0.59
2035,,0.6
2036,,0.6
2037,,0.61
2038,,0.61
2039,,0.62
2040,,0.63
