year,Base case diesel consumed,Modeled wind power
2019,140413.559992,117251.599255
2020,140413.559992,117251.599255
2021,140340.35167,117178.390934
2022,140340.35167,117178.390934
2023,140340.35167,117178.390934
2024,140267.143349,117105.182613
2025,140267.143349,117105.182613
2026,140267.143349,117105.182613
2027,140193.935028,117031.974291
2028,140193.935028,117031.974291
2029,140193.935028,117031.974291
2030,140193.935028,117031.974291
2031,140120.726707,116958.76597
2032,140120.726707,116958.76597
2033,140047.518386,116885.557649
2034,139974.310065,116812.349328
2035,139901.101743,116739.141007
2036,139901.101743,116739.141007
2037,139827.893422,116665.932686
2038,139754.685101,116592.724364
