year,Base case cost,Modeled solar power (pv)
2016,223490.362848,244162.277547
2017,273949.19821,293487.020553
2018,311880.625654,330471.035997
2019,366479.391578,383923.588009
2020,391753.832377,408452.013245
2021,409793.826878,425850.964332
2022,422424.458528,437925.351646
2023,432248.283145,447240.59041
2024,440438.830117,454951.66243
2025,448854.858718,462899.356771
2026,460076.230186,473628.973468
2027,469649.682344,482738.89097
2028,478061.318446,490714.561093
2029,489276.833248,501470.793858
2030,494884.590649,506696.217853
2031,507237.030679,518593.11736
2032,518446.688816,529373.894258
2033,530780.094682,541272.027677
2034,543100.323051,553166.858368
2035,551210.340869,560909.023682
