year,Base case cost,Modeled biomass for heat (pellet)
2017,130042.547918,161687.934607
2018,144725.417918,171744.602439
2019,165934.007918,186466.226521
2020,175722.587918,193050.85501
2021,182792.117918,197705.159728
2022,187686.407918,200816.852958
2023,191493.077918,203161.5831
2024,194755.937918,205127.072571
2025,198018.797918,207101.048678
2026,202369.277918,209859.174483
2027,206175.947918,212237.462791
2028,209438.807918,214235.72391
2029,213789.287918,217017.565546
2030,215964.527918,218255.22089
2031,220858.817918,221439.892142
2032,,
2033,,
2034,,
2035,,
2036,,
