year,Base case diesel consumed,Modeled diesel efficiency
2019,1324849.05774,1204408.23431
2020,1324977.27928,1204524.79935
2021,1324913.16851,1204466.51683
2022,1324913.16851,1204466.51683
2023,1325105.50082,1204641.36438
2024,1325233.72236,1204757.92942
2025,1325297.83313,1204816.21194
2026,1325041.39005,1204583.08187
2027,1324464.39313,1204058.5392
2028,1323695.06389,1203359.14899
2029,1323053.95619,1202776.32381
2030,1322092.29464,1201902.08604
2031,1320874.19002,1200794.7182
2032,1319335.53154,1199395.93777
2033,1317604.54076,1197822.30978
2034,1315809.4392,1196190.39928
2035,1313886.11611,1194441.92374
2036,1311962.79302,1192693.4482
2037,1310039.46992,1190944.97266
2038,1307987.92529,1189079.93208
