year,Base case diesel consumed,Modeled wind power
2019,1324849.05774,959112.901797
2020,1324977.27928,959241.123337
2021,1324913.16851,959177.012567
2022,1324913.16851,959177.012567
2023,1325105.50082,959369.344876
2024,1325233.72236,959497.566416
2025,1325297.83313,959561.677186
2026,1325041.39005,959305.234107
2027,1324464.39313,958728.237178
2028,1323695.06389,957958.907941
2029,1323053.95619,957317.800243
2030,1322092.29464,956356.138696
2031,1320874.19002,955138.03407
2032,1319335.53154,953599.375595
2033,1317604.54076,951868.384811
2034,1315809.4392,950073.283257
2035,1313886.11611,948149.960163
2036,1311962.79302,946226.637069
2037,1310039.46992,944303.313975
2038,1307987.92529,942251.769342
