year,Base case diesel consumed,Modeled solar power
2020,1324977.27928,1301834.41843
2021,1324913.16851,1301955.45055
2022,1324913.16851,1302139.11229
2023,1325105.50082,1302513.63705
2024,1325233.72236,1302822.5935
2025,1325297.83313,1303065.9933
2026,1325041.39005,1302987.40494
2027,1324464.39313,1302586.83989
2028,1323695.06389,1301992.53108
2029,1323053.95619,1301525.04365
2030,1322092.29464,1300735.6134
2031,1320874.19002,1299688.36222
2032,1319335.53154,1298319.19037
2033,1317604.54076,1296756.33032
2034,1315809.4392,1295128.01445
2035,1313886.11611,1293370.14275
2036,1311962.79302,1291610.94744
2037,1310039.46992,1289850.43911
2038,1307987.92529,1287960.40673
2039,1305872.26989,1286004.97147
