year,Base case cost,"Naknek (unnamed stream, site #1) -- unnamed creek"
2021,5718987.69189,5884317.25066
2022,5864728.14043,6026763.01264
2023,5966950.07021,6125782.10202
2024,6050354.55945,6206064.59168
2025,6150707.24357,6303361.60582
2026,6269433.33704,6419095.71412
2027,6369349.26654,6516094.92911
2028,6448380.50373,6592284.04852
2029,6558378.46083,6699494.92739
2030,6623021.35001,6761430.72255
2031,6739100.11747,6874846.34029
2032,6856586.75742,6989730.04002
2033,6969469.21834,7100070.69647
2034,7088923.35371,7217038.97375
2035,7160022.38974,7285726.35652
2036,7282705.46403,7406034.92868
2037,7351286.48547,7472315.36927
2038,7469919.04133,7588682.14527
2039,7557082.82583,7673643.2672
2040,7686193.00479,7800585.95597
2041,7673341.10344,7785667.71665
2042,7660111.20498,7770419.91003
2043,7646881.30653,7755219.39812
2044,7634029.40517,7740443.06957
2045,7620799.50672,7725333.84768
2046,7607947.60536,7710646.66954
2047,7594717.70691,7695624.5086
2048,7582243.80265,7681400.348
2049,7569391.9013,7666839.21194
2050,7556539.99994,7652318.13607
2051,7556539.99994,7650688.08283
2052,7556539.99994,7649096.23396
2053,7556539.99994,7647541.69406
2054,7556539.99994,7646023.58868
2055,7556539.99994,7644541.06389
2056,7556539.99994,7643093.28578
2057,7556539.99994,7641679.43997
2058,7556539.99994,7640298.73118
2059,7556539.99994,7638950.38274
2060,7556539.99994,7637633.63621
2061,7556539.99994,7636347.75094
2062,7556539.99994,7635092.0036
2063,7556539.99994,7633865.68784
2064,7556539.99994,7632668.11386
2065,7556539.99994,7631498.60802
2066,7556539.99994,7630356.51246
2067,7556539.99994,7629241.18478
2068,7556539.99994,7628151.99758
2069,7556539.99994,7627088.33822
2070,7556539.99994,7626049.60837
