year,Base case diesel consumed,"Naknek (unnamed stream, site #1) -- unnamed creek"
2021,1324913.16851,1324392.76835
2022,1324913.16851,1324392.76835
2023,1325105.50082,1324585.10066
2024,1325233.72236,1324713.32219
2025,1325297.83313,1324777.43296
2026,1325041.39005,1324520.98989
2027,1324464.39313,1323943.99296
2028,1323695.06389,1323174.66372
2029,1323053.95619,1322533.55602
2030,1322092.29464,1321571.89448
2031,1320874.19002,1320353.78985
2032,1319335.53154,1318815.13137
2033,1317604.54076,1317084.14059
2034,1315809.4392,1315289.03904
2035,1313886.11611,1313365.71594
2036,1311962.79302,1311442.39285
2037,1310039.46992,1309519.06975
2038,1307987.92529,1307467.52512
2039,1305872.26989,1305351.86972
2040,1303628.39294,1303107.99278
2041,1301448.62677,1300928.2266
2042,1299204.74983,1298684.34966
2043,1296960.87288,1296440.47272
2044,1294781.10671,1294260.70654
2045,1292537.22977,1292016.8296
2046,1290357.4636,1289837.06343
2047,1288113.58665,1287593.18649
2048,1285997.93125,1285477.53108
2049,1283818.16508,1283297.76491
2050,1281638.3989,1281117.99874
2051,1281638.3989,1281117.99874
2052,1281638.3989,1281117.99874
2053,1281638.3989,1281117.99874
2054,1281638.3989,1281117.99874
2055,1281638.3989,1281117.99874
2056,1281638.3989,1281117.99874
2057,1281638.3989,1281117.99874
2058,1281638.3989,1281117.99874
2059,1281638.3989,1281117.99874
2060,1281638.3989,1281117.99874
2061,1281638.3989,1281117.99874
2062,1281638.3989,1281117.99874
2063,1281638.3989,1281117.99874
2064,1281638.3989,1281117.99874
2065,1281638.3989,1281117.99874
2066,1281638.3989,1281117.99874
2067,1281638.3989,1281117.99874
2068,1281638.3989,1281117.99874
2069,1281638.3989,1281117.99874
2070,1281638.3989,1281117.99874
