year,Base case cost,Modeled solar power
2020,5521842.81142,5645349.26824
2021,5718987.69189,5835197.03797
2022,5864728.14043,5974687.31067
2023,5966950.07021,6071557.2278
2024,6050354.55945,6150049.72475
2025,6150707.24357,6245319.89466
2026,6269433.33704,6358753.14926
2027,6369349.26654,6453783.79862
2028,6448380.50373,6528371.26108
2029,6558378.46083,6633538.51689
2030,6623021.35001,6694169.23434
2031,6739100.11747,6805488.43646
2032,6856586.75742,6918274.31444
2033,6969469.21834,7026617.95283
2034,7088923.35371,7141526.17838
2035,7160022.38974,7208924.09616
2036,7282705.46403,7327194.31713
2037,7351286.48547,7392293.21439
2038,7469919.04133,7506750.15284
2039,7557082.82583,7590303.32908
