year,Base case cost,Modeled wind power
2019,5237790.74979,5367485.21883
2020,5521842.81142,5557388.65027
2021,5718987.69189,5681436.00372
2022,5864728.14043,5766947.1665
2023,5966950.07021,5820065.74923
2024,6050354.55945,5859352.67192
2025,6150707.24357,5912077.56722
2026,6269433.33704,5979023.88726
2027,6369349.26654,6031791.31312
2028,6448380.50373,6068920.80447
2029,6558378.46083,6130313.29265
2030,6623021.35001,6157227.53494
2031,6739100.11747,6223509.09167
2032,6856586.75742,6290899.16924
2033,6969469.21834,6354945.10826
2034,7088923.35371,6424298.38383
2035,7160022.38974,6457058.86211
2036,7282705.46403,6529436.23911
2037,7351286.48547,6561023.6793
2038,7469919.04133,6630832.11435
