year,Base case cost,Modeled non-residential energy efficiency
2017,1595440.92025,1747590.4771
2018,1676964.22435,1818117.60664
2019,1791096.8501,1919605.89109
2020,1843271.76472,1962705.88263
2021,1882402.9507,1993627.48316
2022,1908490.40801,2012367.29004
2023,1928056.00099,2025083.76519
2024,1944360.66181,2034854.55602
2025,1960665.32264,2044757.38605
2026,1986752.77995,2064031.83782
2027,2003057.44077,2074189.53469
2028,2019362.10159,2084470.20265
2029,2042188.62674,2101032.74431
2030,2055232.3554,2108469.88314
2031,2078058.88055,2125264.22488
