year,Base case cost,Modeled water and wastewater efficiency
2017,59041.0337831,43457.6381776
2018,61635.5710323,45278.1958343
2019,65155.8718508,47760.075538
2020,66904.0904382,48978.1419782
2021,68236.8382077,49900.4280976
2022,69183.6462486,50547.9898624
2023,69936.4933821,51057.8030132
2024,70582.8783007,51492.2895762
2025,71264.3425308,51952.4321736
2026,72241.6222878,52624.2713523
2027,72999.6191616,53140.2296257
2028,73705.421611,53619.5297166
2029,74665.9437825,54281.1556924
2030,75362.0381375,54754.6486751
2031,76270.8683785,55380.4908232
