year,Base case cost,Modeled water and wastewater efficiency
2017,71117.7565347,50562.4858656
2018,75378.261227,53404.0854076
2019,80855.7767091,57057.0481561
2020,83410.1083429,58761.535729
2021,85233.7260855,59978.8453309
2022,86448.6147419,60790.241994
2023,87419.9967068,61439.2552291
2024,88147.7653367,61925.8971155
2025,88996.9424759,62493.6100916
2026,90089.0539574,63223.4973451
2027,90937.6472935,63791.0289772
2028,91664.1997513,64277.3288327
2029,92633.7858398,64925.7881194
2030,93238.4953673,65330.8441273
2031,94207.6057118,65979.1200029
