year,Base case diesel consumed,Modeled residential ashp
2017,17601.0982878,9872.18259152
2018,17601.0982878,9872.18259152
2019,17601.0982878,9872.18259152
2020,17601.0982878,9872.18259152
2021,17601.0982878,9872.18259152
2022,19571.12899,11842.2132937
2023,19571.12899,11842.2132937
2024,19571.12899,11842.2132937
2025,19571.12899,11842.2132937
2026,19571.12899,11842.2132937
2027,19571.12899,11842.2132937
2028,19571.12899,11842.2132937
2029,21541.1596922,13812.243996
2030,21541.1596922,13812.243996
2031,21541.1596922,13812.243996
