year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10156.0382299,6601.42484944
2018,10153.138004,6599.53970258
2019,10150.3905967,6597.75388788
2020,10147.4543469,6595.84532547
2021,10144.7192584,6594.06751793
2022,10142.219757,6592.44284206
2023,10139.8422443,6590.89745878
2024,10137.4272427,6589.32770775
2025,10134.8377814,6587.64455792
2026,10131.9605282,6585.77434334
2027,10129.1213632,6583.92888606
2028,10126.0961522,6581.96249892
2029,10122.9406957,6579.91145221
2030,10119.9993852,6577.99960037
2031,10116.730197,6575.87462803
