year,Base case diesel consumed,Modeled wind power
2019,88311.5579246,64304.5267034
2020,88311.5579246,64304.5267034
2021,88311.5579246,64304.5267034
2022,88311.5579246,64304.5267034
2023,88311.5579246,64304.5267034
2024,88311.5579246,64304.5267034
2025,88311.5579246,64304.5267034
2026,88311.5579246,64304.5267034
2027,88311.5579246,64304.5267034
2028,88311.5579246,64304.5267034
2029,88311.5579246,64304.5267034
2030,88311.5579246,64304.5267034
2031,88311.5579246,64304.5267034
2032,88311.5579246,64304.5267034
2033,88311.5579246,64304.5267034
2034,88311.5579246,64304.5267034
2035,88311.5579246,64304.5267034
2036,88235.623653,64228.5924317
2037,88235.623653,64228.5924317
2038,88235.623653,64228.5924317
