year,Base case cost,Modeled solar power
2020,320570.955266,326677.436467
2021,332051.457797,337844.550799
2022,339999.49801,345527.168251
2023,345298.191485,350597.085205
2024,349713.769381,354799.447753
2025,355012.462857,359880.063671
2026,362077.387491,366712.22334
2027,367376.080966,371803.30681
2028,371791.658863,376026.048027
2029,377973.467917,382000.309986
2030,382389.045814,386232.530901
2031,388570.854868,392216.371224
2032,395635.779502,399078.554426
2033,402700.704136,405945.495523
2034,409765.62877,412817.092321
2035,414181.206666,417071.665532
2036,420883.924825,423589.847463
2037,425295.706007,427848.781484
2038,432354.555899,434731.511355
2039,437272.059331,439495.001977
