year,Base case diesel consumed,Modeled solar power
2020,88311.5579246,87267.4656513
2021,88311.5579246,87275.8183895
2022,88311.5579246,87284.1043058
2023,88311.5579246,87292.3239347
2024,88311.5579246,87300.4778066
2025,88311.5579246,87308.5664476
2026,88311.5579246,87316.5903794
2027,88311.5579246,87324.5501198
2028,88311.5579246,87332.4461822
2029,88311.5579246,87340.2790761
2030,88311.5579246,87348.0493069
2031,88311.5579246,87355.7573759
2032,88311.5579246,87363.4037803
2033,88311.5579246,87370.9890134
2034,88311.5579246,87378.5135647
2035,88311.5579246,87385.9779196
2036,88235.623653,87317.448288
2037,88235.623653,87324.7936909
2038,88235.623653,87332.0803306
2039,88159.6893813,87263.3744055
