year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9514.84452743,6184.64894283
2018,9515.22551062,6184.8965819
2019,9515.59048051,6185.13381233
2020,9515.95318185,6185.3695682
2021,9516.24609187,6185.55995972
2022,9516.2649075,6185.57218988
2023,9516.02097151,6185.41363148
2024,9515.64158964,6185.16703327
2025,9515.53963827,6185.10076488
2026,9515.69136433,6185.19938681
2027,9515.87218122,6185.31691779
2028,9516.13906962,6185.49039526
2029,9516.18270588,6185.51875882
2030,9516.07354852,6185.44780654
2031,9515.89553396,6185.33209707
