year,Base case cost,Modeled water and wastewater efficiency
2017,-3931.94248457,55265.7745682
2018,2100.56734995,59498.445746
2019,10787.0595125,65590.2245451
2020,14794.6328575,68402.6773038
2021,17685.3804166,70432.6402096
2022,19905.1423594,71992.0731737
2023,21455.7875871,73082.744452
2024,22560.8710333,73860.7094743
2025,24106.3862424,74947.285908
2026,25870.492103,76186.8257272
2027,27410.452527,77269.3913777
2028,28506.3210248,78040.7204914
2029,30270.2957137,79277.3529056
2030,31370.3487573,80049.2243226
2031,33128.3382692,81282.9901037
