year,Base case diesel consumed,Modeled non-residential ashp
2017,38908.0655094,27235.6458332
2018,38908.0655094,27235.6458332
2019,38908.0655094,27235.6458332
2020,38908.0655094,27235.6458332
2021,38908.0655094,27235.6458332
2022,38908.0655094,27235.6458332
2023,38908.0655094,27235.6458332
2024,38908.0655094,27235.6458332
2025,38908.0655094,27235.6458332
2026,38908.0655094,27235.6458332
2027,38908.0655094,27235.6458332
2028,38908.0655094,27235.6458332
2029,38908.0655094,27235.6458332
2030,38908.0655094,27235.6458332
2031,38908.0655094,27235.6458332
