year,Base case cost,Modeled non-residential energy efficiency
2017,266281.972164,292489.316308
2018,286370.010126,310793.937391
2019,314138.768484,336097.384181
2020,327727.73534,348479.921972
2021,336590.105029,356555.490097
2022,343089.176134,362477.573388
2023,347815.773302,366784.543055
2024,351951.545823,370553.141513
2025,356678.142991,374860.111179
2026,361995.564804,379705.452054
2027,366722.161971,384012.42172
2028,370857.934493,387781.020179
2029,376175.356306,392626.361053
2030,379129.479536,395318.217095
2031,385037.725995,400701.929178
