year,Base case cost,Modeled transmission and interties
2021,169430.301577,1909594.56731
2022,173987.106754,1912547.28401
2023,177301.146882,1914439.33564
2024,180200.931995,1915977.83224
2025,183514.972124,1917869.88386
2026,187243.267268,1920427.62003
2027,190154.437825,1922066.94679
2028,193048.092314,1923602.19075
2029,197185.387654,1926103.77491
2030,199256.662735,1927559.42051
2031,203399.212895,1929846.45266
2032,207541.763056,1932445.61433
2033,211236.777671,1934453.67854
2034,215370.569798,1937047.34516
2035,217850.845074,1938852.72083
2036,222398.016413,1941487.72537
2037,224878.291689,1942981.63141
2038,229425.463028,1945616.63595
2039,232732.49673,1947504.68747
2040,237279.668069,1950451.16163
