year,Base case cost,Modeled non-residential energy efficiency
2017,343819.087487,512213.373628
2018,422469.597401,577538.413418
2019,532580.31128,670613.644146
2020,585013.984555,713065.50949
2021,621717.555848,741772.641375
2022,647934.392486,761343.120889
2023,666286.178133,774080.033358
2024,682016.280115,784591.552747
2025,700368.065762,797485.897815
2026,723963.218736,815066.288296
2027,742315.004382,828110.772796
2028,758045.106365,838922.655498
2029,779018.575675,854415.366878
2030,789505.31033,860756.992259
2031,813100.463304,878691.297432
