year,Base case cost,Modeled residential energy efficiency
2017,147711.761618,190982.981676
2018,179511.081384,217616.045354
2019,224070.4512,255667.9748
2020,243655.393525,271317.122823
2021,262074.017983,286528.905439
2022,276912.015527,298657.894403
2023,288997.270577,308415.986902
2024,300271.459286,317513.78147
2025,307597.095272,322582.734157
2026,322380.839968,334913.579335
2027,335306.998897,345650.269218
2028,347371.637253,355672.979747
2029,361865.676013,367926.539041
2030,366320.842961,370632.598152
2031,382281.853088,384299.148898
2032,398545.588612,398297.920233
2033,415112.049532,412628.220846
2034,431981.235849,427289.375651
2035,445559.501188,439032.411773
2036,456340.440312,447659.614633
