year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,30264.83,363593.03,153445.87,-2312.6,-19773.95,-5734.11
2018,33781.54,405708.06,174579.04,1961.21,16761.54,4932.04
2019,38703.4,464669.09,203798.13,7949.66,67911.22,20272.32
2020,41054.76,492745.77,216112.22,10805.63,92268.21,27543.17
2021,42705.6,512399.45,228975.06,12808.01,109318.11,33098.96
2022,43888.47,526437.79,239607.58,14240.76,121496.6,37304.44
2023,44720.57,536264.63,248520.85,15246.16,130021.55,40476.42
2024,45435.75,544687.63,256934.67,16109.37,137328.65,43336.79
2025,46268.49,554514.47,261570.09,17116.19,145853.59,46027.0
2026,47336.22,567148.98,272226.26,18409.86,156814.24,50154.58
2027,48170.46,576975.82,281720.76,19418.67,165339.19,53586.23
2028,48888.1,585398.82,290680.94,20285.32,172646.28,56690.7
2029,49839.1,596629.5,301198.01,21438.01,182389.08,60667.67
2030,50321.38,602244.83,304032.81,22018.74,187260.48,62288.03
2031,51391.18,614879.34,315502.7,23316.56,198221.12,66779.15
2032,,,327181.84,,,71363.75
2033,,,339070.21,,,76041.84
2034,,,351167.83,,,80813.4
2035,,,361174.22,,,84385.28
2036,,,368075.64,,,88264.8
