year,Base case cost,Point lay wind generation design,Modeled wind power
2019,850239.49072,690816.54693,1033613.34363
2020,900860.879179,720365.009612,1055535.55766
2021,936010.035051,739951.719131,1067773.92688
2022,960582.0674,752656.267309,1073368.19344
2023,977693.864913,760687.01618,1074504.89201
2024,992218.38037,767101.475927,1074201.86802
2025,1009272.28566,775200.911895,1075720.81135
2026,1031402.12387,786623.448596,1080678.28689
2027,1048391.70447,794779.275322,1082552.65288
2028,1062504.5419,801023.555836,1082677.68165
2029,1081977.05561,810870.486092,1086510.40152
2030,1091240.52597,814191.730209,1084026.74651
2031,1113194.54336,825723.00138,1089797.84649
2032,1135109.96593,837268.65051,1095714.54665
2033,1156986.79368,848827.436014,1101772.5298
2034,1178492.68238,860065.801236,1107635.23593
2035,1192689.14191,866764.930428,1109134.70229
2036,1214450.18521,878355.963411,1115591.63219
2037,1228588.75252,885092.428086,1117364.32863
2038,1249925.25286,896351.913913,1123720.0772
