year,Base case diesel consumed,Modeled diesel efficiency
2019,256869.936774,233518.12434
2020,256655.521133,233323.20103
2021,256441.105493,233128.277721
2022,256155.217973,232868.379976
2023,255940.802333,232673.456667
2024,255726.386693,232478.533358
2025,255511.971053,232283.610048
2026,255297.555413,232088.686739
2027,255083.139773,231893.76343
2028,254797.252253,231633.865685
2029,254582.836613,231438.942376
2030,254368.420973,231244.019066
2031,254154.005333,231049.095757
2032,253939.589693,230854.172448
2033,253725.174053,230659.249139
2034,253439.286533,230399.351393
2035,253224.870893,230204.428084
2036,253010.455253,230009.504775
2037,252796.039613,229814.581466
2038,252510.152093,229554.683721
