year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,257441.71,11685.26,140383.41,59245.51
2018,257155.82,11689.11,140383.41,60407.97
2019,256869.94,11692.87,140383.41,61570.43
2020,256655.52,11696.51,140383.41,61570.43
2021,256441.11,11700.16,140383.41,62732.89
2022,256155.22,11703.59,140383.41,63895.35
2023,255940.8,11706.96,140383.41,65057.82
2024,255726.39,11710.24,140383.41,66220.28
2025,255511.97,11713.54,140383.41,66220.28
2026,255297.56,11716.89,140383.41,67382.74
2027,255083.14,11720.31,140383.41,68545.2
2028,254797.25,11723.76,140383.41,69707.66
2029,254582.84,11726.85,140383.41,70870.12
2030,254368.42,11729.93,140383.41,70870.12
2031,254154.01,11733.15,140383.41,72032.58
2032,253939.59,,,73195.04
2033,253725.17,,,74357.5
2034,253439.29,,,75519.96
2035,253224.87,,,76682.42
2036,253010.46,,,76682.42
