year,Base case cost,Modeled solar power (pv)
2016,559113.796575,596382.556681
2017,666774.033597,701771.535336
2018,743180.332209,776347.339315
2019,850239.49072,881218.716993
2020,900860.879179,930410.851778
2021,936010.035051,964354.54849
2022,960582.0674,987875.587911
2023,977693.864913,1004055.45286
2024,992218.38037,1017701.23768
2025,1009272.28566,1033865.82164
2026,1031402.12387,1055065.00808
2027,1048391.70447,1071206.75786
2028,1062504.5419,1084522.11486
2029,1081977.05561,1103155.45998
2030,1091240.52597,1111719.38853
2031,1113194.54336,1132841.92176
2032,1135109.96593,1153944.94484
2033,1156986.79368,1175028.04683
2034,1178492.68238,1195758.48161
2035,1192689.14191,1209283.95906
