year,Base case diesel consumed,Modeled residential ashp
2017,66717.2376525,35752.7991059
2018,68026.3019201,37061.8633735
2019,69335.3661876,38370.9276411
2020,69335.3661876,38370.9276411
2021,70644.4304552,39679.9919086
2022,71953.4947228,40989.0561762
2023,73262.5589904,42298.1204438
2024,74571.623258,43607.1847114
2025,74571.623258,43607.1847114
2026,75880.6875255,44916.248979
2027,77189.7517931,46225.3132466
2028,78498.8160607,47534.3775141
2029,79807.8803283,48843.4417817
2030,79807.8803283,48843.4417817
2031,81116.9445959,50152.5060493
