year,Base case diesel consumed,Point lay wind generation design,Modeled wind power
2019,256869.936774,170731.165975,169028.368929
2020,256655.521133,170516.750335,168813.953289
2021,256441.105493,170302.334695,168599.537649
2022,256155.217973,170016.447175,168313.650129
2023,255940.802333,169802.031535,168099.234489
2024,255726.386693,169587.615895,167884.818849
2025,255511.971053,169373.200255,167670.403209
2026,255297.555413,169158.784615,167455.987569
2027,255083.139773,168944.368975,167241.571929
2028,254797.252253,168658.481455,166955.684408
2029,254582.836613,168444.065815,166741.268768
2030,254368.420973,168229.650174,166526.853128
2031,254154.005333,168015.234534,166312.437488
2032,253939.589693,167800.818894,166098.021848
2033,253725.174053,167586.403254,165883.606208
2034,253439.286533,167300.515734,165597.718688
2035,253224.870893,167086.100094,165383.303048
2036,253010.455253,166871.684454,165168.887408
2037,252796.039613,166657.268814,164954.471768
2038,252510.152093,166371.381294,164668.584248
