year,annotation,Average Load
2003,,284.0
2004,,273.0
2005,,267.0
2006,,289.0
2007,,387.0
2008,,387.0
2009,,319.0
2010,,301.0
2011,,271.0
2012,,365.0
2013,,401.0
2014,,385.0
2015,,396.0
2016,start of forecast,388.0
2017,,388.0
2018,,387.0
2019,,387.0
2020,,387.0
2021,,386.0
2022,,386.0
2023,,386.0
2024,,385.0
2025,,385.0
2026,,385.0
2027,,384.0
2028,,384.0
2029,,384.0
2030,,383.0
2031,,383.0
2032,,383.0
2033,,382.0
2034,,382.0
2035,,381.0
2036,,381.0
2037,,381.0
2038,,380.0
2039,,380.0
2040,,380.0
