year,Base case diesel consumed,Modeled non-residential ashp
2017,140383.410876,118372.155815
2018,140383.410876,118372.155815
2019,140383.410876,118372.155815
2020,140383.410876,118372.155815
2021,140383.410876,118372.155815
2022,140383.410876,118372.155815
2023,140383.410876,118372.155815
2024,140383.410876,118372.155815
2025,140383.410876,118372.155815
2026,140383.410876,118372.155815
2027,140383.410876,118372.155815
2028,140383.410876,118372.155815
2029,140383.410876,118372.155815
2030,140383.410876,118372.155815
2031,140383.410876,118372.155815
