year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.25
2001,,,2.53
2004,,1.78,2.53
2005,,2.33,3.62
2008,,4.02,4.91
2009,,3.62,6.18
2010,,3.06,5.75
2011,,3.47,5.87
2012,,4.19,6.57
2013,,4.11,7.28
2014,,,7.42
2016,start of forecast,2.06,4.26
2017,,2.46,4.66
2018,,2.75,4.95
2019,,3.15,5.35
2020,,3.34,5.54
2021,,3.47,5.67
2022,,3.56,5.76
2023,,3.63,5.83
2024,,3.69,5.89
2025,,3.75,5.95
2026,,3.83,6.03
2027,,3.9,6.1
2028,,3.96,6.16
2029,,4.03,6.23
2030,,4.08,6.28
2031,,4.16,6.36
2032,,4.24,6.44
2033,,4.33,6.53
2034,,4.42,6.62
2035,,4.47,6.67
2036,,4.56,6.76
2037,,4.61,6.81
2038,,4.7,6.9
2039,,4.77,6.97
2040,,4.87,7.07
