year,Base case diesel consumed,Modeled transmission and interties
2021,397124.123134,198562.061567
2022,396661.992657,198330.996329
2023,396199.86218,198099.93109
2024,395429.644719,197714.822359
2025,394967.514242,197483.757121
2026,394043.253288,197021.626644
2027,393581.122811,196790.561406
2028,392964.948842,196482.474421
2029,391886.644396,195943.322198
2030,390346.209473,195173.104737
2031,388959.818042,194479.909021
2032,388189.600581,194094.800291
2033,387419.38312,193709.69156
2034,386803.20915,193401.604575
2035,386032.991689,193016.495844
2036,384954.687243,192477.343621
2037,384184.469781,192092.234891
2038,383260.208828,191630.104414
2039,382489.991366,191244.995683
2040,381565.730412,190782.865206
