year,Base case diesel consumed,Modeled residential ashp
2017,203372.711337,27775.4399163
2018,206371.957312,30774.6858906
2019,207871.580299,32274.3088778
2020,210870.826273,35273.5548522
2021,212370.44926,36773.1778394
2022,213870.072248,38272.8008265
2023,216869.318222,41272.0468009
2024,218368.941209,42771.6697881
2025,219868.564196,44271.2927753
2026,222867.810171,47270.5387496
2027,225867.056145,50269.784724
2028,227366.679132,51769.4077112
2029,230365.925107,54768.6536855
2030,236364.417055,60767.1456342
2031,240863.286017,65266.0145958
