year,Base case diesel consumed,Modeled non-residential ashp
2017,203372.711337,145797.850061
2018,206371.957312,148797.096035
2019,207871.580299,150296.719022
2020,210870.826273,153295.964996
2021,212370.44926,154795.587984
2022,213870.072248,156295.210971
2023,216869.318222,159294.456945
2024,218368.941209,160794.079932
2025,219868.564196,162293.70292
2026,222867.810171,165292.948894
2027,225867.056145,168292.194868
2028,227366.679132,169791.817855
2029,230365.925107,172791.06383
2030,236364.417055,178789.555779
2031,240863.286017,183288.42474
