year,Base case cost,Modeled wind power
2019,627654.060439,986405.367794
2020,664483.548795,1016689.18437
2021,689010.353638,1036737.37168
2022,706058.34693,1050684.7836
2023,719102.749857,1061317.62324
2024,729567.694506,1069715.51364
2025,740564.089204,1078644.85409
2026,754592.830047,1089917.52261
2027,767483.189482,1100396.31876
2028,778070.598707,1108916.67374
2029,789651.588458,1118086.1002
2030,796306.267325,1123018.23386
2031,809036.421528,1132992.31573
2032,822961.953232,1144161.77511
2033,838762.964454,1156862.20496
2034,854835.092222,1169833.75136
2035,862783.736425,1176059.85036
2036,877696.686914,1187872.21948
2037,885545.202846,1193998.1902
2038,900661.490745,1206013.89673
