year,Base case cost,Modeled solar power
2020,383868.649544,396822.887599
2021,400661.494165,413075.271016
2022,413759.586723,425694.13993
2023,423116.214517,434631.349099
2024,431251.63889,442373.40376
2025,440727.643582,451449.390645
2026,452853.667114,463153.005482
2027,462464.619603,472382.867929
2028,470833.607472,480395.45268
2029,482419.098342,491602.039121
2030,489593.57576,498452.728381
2031,501054.499431,509551.93787
2032,513639.493769,521768.546157
2033,526014.651697,533783.870149
2034,538460.99088,545878.742712
2035,547259.290698,554378.181201
2036,560149.029788,566932.294803
2037,569066.706504,575565.896775
2038,581788.873054,587967.598941
2039,592183.56083,598078.006887
