year,Base case diesel consumed,Modeled wind power
2019,125753.552096,80910.7717669
2020,126272.582087,81429.8017579
2021,126791.612078,81948.8317488
2022,127310.642069,82467.8617398
2023,127829.67206,82986.8917308
2024,128348.702051,83505.9217217
2025,128867.732042,84024.9517127
2026,129386.762032,84543.9817036
2027,129905.792023,85063.0116946
2028,130424.822014,85582.0416856
2029,131092.146288,86249.3659597
2030,131611.176279,86768.3959506
2031,132204.353412,87361.5730832
2032,132723.383403,87880.6030741
2033,133168.266252,88325.4859235
2034,133613.149102,88770.3687729
2035,134132.179093,89289.3987639
2036,134651.209084,89808.4287548
2037,135170.239075,90327.4587458
2038,135615.121924,90772.3415952
