year,Base case cost,Modeled wind power
2019,360912.694515,579956.511539
2020,383868.649544,589991.200674
2021,400661.494165,595921.610139
2022,413759.586723,599449.349958
2023,423116.214517,600524.255979
2024,431251.63889,600900.004937
2025,440727.643582,602371.875048
2026,452853.667114,605864.483387
2027,462464.619603,607736.029037
2028,470833.607472,608874.945986
2029,482419.098342,612591.88707
2030,489593.57576,613164.447541
2031,501054.499431,616997.589946
2032,513639.493769,621689.364712
2033,526014.651697,626284.749103
2034,538460.99088,631062.101884
2035,547259.290698,633444.42689
2036,560149.029788,638879.02494
2037,569066.706504,641589.560248
2038,581788.873054,647060.524616
