year,Base case diesel consumed,Modeled solar power
2020,126272.582087,124602.378535
2021,126791.612078,125134.770155
2022,127310.642069,125667.054881
2023,127829.67206,126199.23357
2024,128348.702051,126731.307068
2025,128867.732042,127263.276219
2026,129386.762032,127795.141857
2027,129905.792023,128326.904809
2028,130424.822014,128858.565898
2029,131092.146288,129538.420221
2030,131611.176279,130069.88002
2031,132204.353412,130675.387523
2032,132723.383403,131206.649241
2033,133168.266252,131663.665964
2034,133613.149102,132120.585615
2035,134132.179093,132651.556114
2036,134651.209084,133182.431089
2037,135170.239075,133713.211304
2038,135615.121924,134169.750376
2039,136134.151915,134700.343339
