year,Base case cost,White mountain (eagle creek),"Golovin (east tributary  and upper cheenik creek) -- cheenik creek, upper"
2021,228959.430802,1779568.25631,1423851.84006
2022,236665.704335,1751229.36372,1405002.28582
2023,242729.515362,1723087.39543,1385697.5261
2024,247887.492969,1695141.9106,1366252.24015
2025,253379.944255,1668256.19032,1347689.34562
2026,259968.682206,1642455.80768,1330349.33269
2027,266237.899421,1617387.21597,1313416.57457
2028,271565.868356,1592412.47499,1296257.0959
2029,277935.821173,1568779.747,1280433.68993
2030,282980.471228,1545185.14417,1264180.11038
2031,289817.900196,1522933.54807,1249581.83088
2032,297402.189212,1501683.53599,1235990.27467
2033,304343.501769,1480750.11395,1222413.20904
2034,312037.970349,1460796.11312,1209827.66364
2035,316611.996265,1439732.30582,1195370.86902
2036,324400.117475,1421002.85426,1183733.30704
2037,330110.566898,1401820.24113,1171043.00276
2038,338002.571697,1384273.18068,1160324.07806
2039,344515.757947,1366586.91342,1149027.92762
2040,352129.952844,1349790.58932,1138808.20367
2041,353669.318758,1330652.28711,1124726.71774
2042,354823.843193,1311613.77579,1110626.50368
2043,356363.209108,1293433.3813,1097268.66483
2044,357517.733543,1275330.32704,1083875.13762
2045,358672.257979,1257678.62263,1070822.58062
2046,360211.623893,1240852.52988,1058487.84298
2047,361366.148328,1224072.0368,1046093.43868
2048,362520.672764,1207711.89522,1034016.58706
2049,363675.197199,1191762.25337,1022249.84561
2050,364829.721635,1176213.4909,1010785.9467
