year,Base case cost,Modeled water and wastewater efficiency
2017,99137.9556565,80199.5703602
2018,104460.329123,83693.5964696
2019,111969.563005,88726.8297132
2020,115312.25241,90844.0016753
2021,117749.783918,92331.8388713
2022,119644.738707,93444.4606649
2023,120995.542362,94180.6163735
2024,122166.648311,94795.7730106
2025,123338.755633,95416.5077966
2026,124876.470635,96298.3979919
2027,126231.758647,97056.9855156
2028,127404.550852,97692.1135051
2029,128770.901904,98467.5949237
2030,129770.064651,98989.8459524
2031,131314.775302,99898.8636667
