year,Base case diesel consumed,Modeled transmission and interties
2021,131585.879771,65792.9398857
2022,132215.477282,66107.7386411
2023,133002.474171,66501.2370854
2024,133632.071682,66816.0358408
2025,134419.06857,67209.5342851
2026,135048.666081,67524.3330406
2027,135835.66297,67917.8314849
2028,136465.260481,68232.6302403
2029,137252.257369,68626.1286846
2030,138039.254258,69019.6271289
2031,138668.851769,69334.4258843
2032,139298.449279,69649.2246397
2033,139928.04679,69964.0233952
2034,140557.644301,70278.8221506
2035,141029.842434,70514.9212172
2036,141659.439945,70829.7199726
2037,142289.037456,71144.518728
2038,142918.634967,71459.3174835
2039,143548.232478,71774.1162389
2040,144020.430611,72010.2153055
