year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,64297.65,8845.76,97751.66,56962.68
2018,64691.14,8849.6,97751.66,58205.24
2019,65005.94,8853.59,97751.66,59447.79
2020,65399.44,8857.63,97751.66,60690.35
2021,65792.94,8861.62,97751.66,61932.91
2022,66107.74,8865.61,97751.66,63175.46
2023,66501.24,8869.57,97751.66,64418.02
2024,66816.04,8873.57,97751.66,65660.57
2025,67209.53,8877.54,97751.66,66903.13
2026,67524.33,8881.5,97751.66,68145.68
2027,67917.83,8885.37,97751.66,69388.24
2028,68232.63,8889.17,97751.66,69388.24
2029,68626.13,8893.42,97751.66,70630.8
2030,69019.63,8897.52,97751.66,71873.35
2031,69334.43,8901.41,97751.66,73115.91
