year,Base case diesel consumed,Modeled transmission and interties
2021,154333.333333,0.0
2022,154416.666667,0.0
2023,154416.666667,0.0
2024,154416.666667,0.0
2025,154500.0,0.0
2026,154500.0,0.0
2027,154583.333333,0.0
2028,154583.333333,0.0
2029,154750.0,0.0
2030,154833.333333,0.0
2031,154916.666667,0.0
2032,154833.333333,0.0
2033,154833.333333,0.0
2034,154833.333333,0.0
2035,154833.333333,0.0
2036,154833.333333,0.0
2037,154833.333333,0.0
2038,154750.0,0.0
2039,154750.0,0.0
2040,154666.666667,0.0
