year,Base case diesel consumed,Modeled residential energy efficiency
2017,26708.8402261,19212.6910822
2018,26708.8402261,19212.6910822
2019,26708.8402261,19212.6910822
2020,26708.8402261,19212.6910822
2021,26708.8402261,19212.6910822
2022,26708.8402261,19212.6910822
2023,25731.2169319,18235.067788
2024,25731.2169319,18235.067788
2025,25731.2169319,18235.067788
2026,25731.2169319,18235.067788
2027,25731.2169319,18235.067788
2028,25731.2169319,18235.067788
2029,25731.2169319,18235.067788
2030,24753.5936377,17257.4444938
2031,24753.5936377,17257.4444938
2032,24753.5936377,17257.4444938
2033,24753.5936377,17257.4444938
2034,24753.5936377,17257.4444938
2035,25731.2169319,18235.067788
2036,25731.2169319,18235.067788
