year,Base case diesel consumed,Modeled non-residential ashp
2017,45874.3045249,32112.0131674
2018,45874.3045249,32112.0131674
2019,45874.3045249,32112.0131674
2020,45874.3045249,32112.0131674
2021,45874.3045249,32112.0131674
2022,45874.3045249,32112.0131674
2023,45874.3045249,32112.0131674
2024,45874.3045249,32112.0131674
2025,45874.3045249,32112.0131674
2026,45874.3045249,32112.0131674
2027,45874.3045249,32112.0131674
2028,45874.3045249,32112.0131674
2029,45874.3045249,32112.0131674
2030,45874.3045249,32112.0131674
2031,45874.3045249,32112.0131674
