year,Base case cost,Modeled biomass for heat (pellet)
2017,121626.801303,144903.211733
2018,135847.741303,155047.779899
2019,155573.561303,169119.277677
2020,165207.101303,175991.404498
2021,171629.461303,180572.822379
2022,176675.601303,184172.507858
2023,180345.521303,186790.460932
2024,183097.961303,188753.925739
2025,186767.881303,191371.878814
2026,190896.541303,194317.076023
2027,194566.461303,196935.029098
2028,197318.901303,198898.493904
2029,201447.561303,201843.691113
2030,203741.261303,203479.911785
2031,208328.661303,206752.353129
2032,,
2033,,
2034,,
2035,,
2036,,
