year,annotation,Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,1690800.0,1660800.0,30000.0
2004,,1762200.0,1762200.0,0.0
2005,,1762778.0,1720200.0,42578.0
2006,,1825095.0,1821600.0,3495.0
2007,,1942826.0,1530364.0,412462.0
2008,,1748895.0,1748895.0,0.0
2009,,1845900.0,1845900.0,0.0
2010,,1883100.0,1883100.0,0.0
2011,,1784220.0,1784220.0,0.0
2012,,2141094.0,2141094.0,0.0
2013,,1721022.0,1721022.0,0.0
2014,start of forecast,1855000.0,1855000.0,0.0
2015,,1854000.0,1854000.0,0.0
2016,,1853000.0,1853000.0,0.0
2017,,1852000.0,1852000.0,0.0
2018,,1852000.0,1852000.0,0.0
2019,,1852000.0,1852000.0,0.0
2020,,1852000.0,1852000.0,0.0
2021,,1852000.0,1852000.0,0.0
2022,,1853000.0,1853000.0,0.0
2023,,1853000.0,1853000.0,0.0
2024,,1853000.0,1853000.0,0.0
2025,,1854000.0,1854000.0,0.0
2026,,1854000.0,1854000.0,0.0
2027,,1855000.0,1855000.0,0.0
2028,,1855000.0,1855000.0,0.0
2029,,1857000.0,1857000.0,0.0
2030,,1858000.0,1858000.0,0.0
2031,,1859000.0,1859000.0,0.0
2032,,1858000.0,1858000.0,0.0
2033,,1858000.0,1858000.0,0.0
2034,,1858000.0,1858000.0,0.0
2035,,1858000.0,1858000.0,0.0
2036,,1858000.0,1858000.0,0.0
2037,,1858000.0,1858000.0,0.0
2038,,1857000.0,1857000.0,0.0
2039,,1857000.0,1857000.0,0.0
2040,,1856000.0,1856000.0,0.0
