year,Base case diesel consumed,Modeled transmission and interties
2021,70562.9227958,35281.4613979
2022,70379.1651843,35189.5825922
2023,70379.1651843,35189.5825922
2024,70379.1651843,35189.5825922
2025,70379.1651843,35189.5825922
2026,70379.1651843,35189.5825922
2027,70195.4075729,35097.7037864
2028,70195.4075729,35097.7037864
2029,70195.4075729,35097.7037864
2030,70195.4075729,35097.7037864
2031,70011.6499614,35005.8249807
2032,70011.6499614,35005.8249807
2033,70011.6499614,35005.8249807
2034,70011.6499614,35005.8249807
2035,69827.89235,34913.946175
2036,69827.89235,34913.946175
2037,69827.89235,34913.946175
2038,69827.89235,34913.946175
2039,69644.1347385,34822.0673693
2040,69644.1347385,34822.0673693
