year,Base case cost,Modeled biomass for heat (pellet)
2017,40815.6567067,51496.773158
2018,45583.5867067,54762.441972
2019,51940.8267067,59165.03239
2020,55119.4467067,61303.2369863
2021,57238.5267067,62688.6421316
2022,59004.4267067,63825.0631712
2023,60063.9667067,64460.4875705
2024,60946.9167067,64972.7623745
2025,62183.0467067,65739.7362155
2026,63595.7667067,66635.3729117
2027,64655.3067067,67281.6946148
2028,65714.8467067,67930.5829082
2029,66950.9767067,68707.9492275
2030,67657.3367067,69109.8484655
2031,69070.0567067,70018.0243901
2032,,
2033,,
2034,,
2035,,
2036,,
