year,Base case cost,Modeled non-residential energy efficiency
2017,115743.311331,116943.883651
2018,120967.471746,121564.694591
2019,127933.018966,127898.712989
2020,131415.792576,130840.132703
2021,133737.641649,132657.822537
2022,135672.515877,134107.904832
2023,136833.440414,134811.943468
2024,137800.877528,135336.978484
2025,139155.289487,136250.055591
2026,140703.188869,137361.849767
2027,141864.113406,138104.853268
2028,143025.037943,138857.033979
2029,144379.449902,139807.270874
2030,145153.399593,140198.977633
2031,146701.298976,141355.607609
