year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,17659.0,13057.3264573
2018,17659.0,13057.3264573
2019,17659.0,13057.3264573
2020,17659.0,13057.3264573
2021,17659.0,13057.3264573
2022,17659.0,13057.3264573
2023,17659.0,13057.3264573
2024,17659.0,13057.3264573
2025,17659.0,13057.3264573
2026,17659.0,13057.3264573
2027,17659.0,13057.3264573
2028,17659.0,13057.3264573
2029,17659.0,13057.3264573
2030,17659.0,13057.3264573
2031,17659.0,13057.3264573
2032,,
2033,,
2034,,
2035,,
2036,,
