year,Base case cost,Modeled residential energy efficiency
2017,226290.015034,239571.467204
2018,240388.333033,250447.138639
2019,252488.210116,258623.617644
2020,258538.148658,262224.688513
2021,262571.441019,264316.034539
2022,265932.517986,265919.188947
2023,267949.164167,266522.575409
2024,269629.702651,266892.232155
2025,266010.025917,261821.779062
2026,268636.14234,262937.313045
2027,270605.729656,263577.786673
2028,272575.316973,264238.078817
2029,268688.973343,258981.206732
2030,263755.090904,252937.458133
2031,259977.403795,247746.013112
2032,269068.921404,255361.210355
2033,271569.547522,256483.705772
2034,274382.751905,257855.381981
2035,282467.09392,264837.331933
2036,278758.847612,259720.73788
