year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,17659.0,12597.1591031
2018,17659.0,12597.1591031
2019,17659.0,12597.1591031
2020,17659.0,12597.1591031
2021,17659.0,12597.1591031
2022,17659.0,12597.1591031
2023,17659.0,12597.1591031
2024,17659.0,12597.1591031
2025,17659.0,12597.1591031
2026,17659.0,12597.1591031
2027,17659.0,12597.1591031
2028,17659.0,12597.1591031
2029,17659.0,12597.1591031
2030,17659.0,12597.1591031
2031,17659.0,12597.1591031
2032,,
2033,,
2034,,
2035,,
2036,,
