year,Base case diesel consumed,Modeled transmission and interties
2021,138304.151761,69152.0758805
2022,138462.575761,69231.2878804
2023,138620.99976,69310.4998802
2024,138779.42376,69389.7118801
2025,138779.42376,69389.7118801
2026,138937.84776,69468.9238799
2027,139096.27176,69548.1358798
2028,139254.695759,69627.3478797
2029,139254.695759,69627.3478797
2030,139413.119759,69706.5598795
2031,139571.543759,69785.7718794
2032,139729.967759,69864.9838793
2033,139729.967759,69864.9838793
2034,139888.391758,69944.1958791
2035,139888.391758,69944.1958791
2036,140046.815758,70023.407879
2037,140205.239758,70102.6198789
2038,140205.239758,70102.6198789
2039,140363.663757,70181.8318787
2040,140522.087757,70261.0438786
