year,Base case diesel consumed,Modeled residential ashp
2017,13310.1684373,-76076.150389
2018,13680.2167253,-75706.102101
2019,13865.2408693,-75521.077957
2020,14235.2891573,-75151.029669
2021,14420.3133013,-74966.005525
2022,14790.3615893,-74595.957237
2023,14975.3857333,-74410.933093
2024,15345.4340213,-74040.884805
2025,15715.4823093,-73670.836517
2026,15900.5064533,-73485.812373
2027,16270.5547413,-73115.764085
2028,16455.5788853,-72930.739941
2029,16825.6271733,-72560.691653
2030,17010.6513173,-72375.667509
2031,17380.6996053,-72005.619221
