year,Base case diesel consumed,Modeled residential energy efficiency
2017,89386.3189157,60504.7044238
2018,91871.4305385,62989.8160467
2019,93113.9863499,64232.3718581
2020,95599.0979727,66717.4834809
2021,96841.6537841,67960.0392923
2022,99326.7654069,70445.1509151
2023,100569.321218,71687.7067265
2024,103054.432841,74172.8183494
2025,105539.544464,76657.9299722
2026,106782.100275,77900.4857836
2027,109267.211898,80385.5974064
2028,110509.76771,81628.1532178
2029,112994.879332,84113.2648406
2030,114237.435144,85355.8206521
2031,116722.546767,87840.9322749
