year,Base case cost,Modeled solar power (pv)
2016,133540.342089,141886.71709
2017,159192.356125,166973.813668
2018,178693.558371,186008.653466
2019,204455.677087,211226.57147
2020,216888.792585,223308.221972
2021,225435.76737,231568.176448
2022,231924.814399,237804.808284
2023,237041.90959,242693.917781
2024,240782.300224,246230.181346
2025,244945.682937,250185.083448
2026,250782.815207,255800.350574
2027,255241.658679,260060.555751
2028,259013.734112,263647.677475
2029,263887.648464,268323.2265
2030,267673.189937,271932.737015
2031,273560.225767,277621.63378
2032,278761.285678,282637.836538
2033,284350.484389,288037.866239
2034,290268.412898,293771.001634
2035,294465.064651,297804.153954
